type,value,timestamp,id,severity,binary,command,mitre_id,mitre_link
high_memory,84.4,2025-04-30T08:56:13.334015,alert-1745974573-0,N/A,N/A,N/A,N/A,N/A
high_memory,84.0,2025-04-30T08:57:14.341947,alert-1745974634-1,N/A,N/A,N/A,N/A,N/A
high_memory,85.6,2025-04-30T08:58:15.356721,alert-1745974695-2,N/A,N/A,N/A,N/A,N/A
high_memory,87.2,2025-04-30T08:59:16.379232,alert-1745974756-3,N/A,N/A,N/A,N/A,N/A
high_memory,84.5,2025-04-30T09:00:17.397505,alert-1745974817-4,N/A,N/A,N/A,N/A,N/A
high_memory,86.3,2025-04-30T09:01:18.410289,alert-1745974878-5,N/A,N/A,N/A,N/A,N/A
high_memory,85.1,2025-04-30T09:02:19.430419,alert-1745974939-6,N/A,N/A,N/A,N/A,N/A
high_memory,85.2,2025-04-30T09:03:20.457160,alert-1745975000-7,N/A,N/A,N/A,N/A,N/A
high_memory,87.1,2025-04-30T09:04:21.469332,alert-1745975061-8,N/A,N/A,N/A,N/A,N/A
high_memory,87.7,2025-04-30T09:05:22.481216,alert-1745975122-9,N/A,N/A,N/A,N/A,N/A
high_memory,86.0,2025-04-30T09:06:23.489721,alert-1745975183-10,N/A,N/A,N/A,N/A,N/A
high_memory,85.1,2025-04-30T09:07:24.523155,alert-1745975244-11,N/A,N/A,N/A,N/A,N/A
high_memory,84.9,2025-04-30T09:08:25.535724,alert-1745975305-12,N/A,N/A,N/A,N/A,N/A
high_memory,86.1,2025-04-30T09:09:26.546797,alert-1745975366-13,N/A,N/A,N/A,N/A,N/A
high_memory,85.8,2025-04-30T09:10:27.639517,alert-1745975427-14,N/A,N/A,N/A,N/A,N/A
high_memory,85.8,2025-04-30T09:11:28.662629,alert-1745975488-15,N/A,N/A,N/A,N/A,N/A
high_memory,83.9,2025-04-30T09:12:29.676192,alert-1745975549-16,N/A,N/A,N/A,N/A,N/A
high_memory,83.8,2025-04-30T09:13:30.690175,alert-1745975610-17,N/A,N/A,N/A,N/A,N/A
high_memory,84.6,2025-04-30T09:14:31.705357,alert-1745975671-18,N/A,N/A,N/A,N/A,N/A
high_memory,84.1,2025-04-30T09:15:32.740605,alert-1745975732-19,N/A,N/A,N/A,N/A,N/A
high_memory,84.3,2025-04-30T09:16:33.813222,alert-1745975793-20,N/A,N/A,N/A,N/A,N/A
high_memory,83.3,2025-04-30T09:17:34.825045,alert-1745975854-21,N/A,N/A,N/A,N/A,N/A
high_memory,83.7,2025-04-30T09:18:35.837349,alert-1745975915-22,N/A,N/A,N/A,N/A,N/A
high_memory,82.9,2025-04-30T09:19:36.851214,alert-1745975976-23,N/A,N/A,N/A,N/A,N/A
high_memory,82.8,2025-04-30T09:20:37.862913,alert-1745976037-24,N/A,N/A,N/A,N/A,N/A
high_memory,82.9,2025-04-30T09:21:38.873991,alert-1745976098-25,N/A,N/A,N/A,N/A,N/A
high_memory,82.6,2025-04-30T09:22:39.885003,alert-1745976159-26,N/A,N/A,N/A,N/A,N/A
high_memory,82.7,2025-04-30T09:23:40.897763,alert-1745976220-27,N/A,N/A,N/A,N/A,N/A
